#epsp #epsq #p #q #epsev #epses #Tg #pd #qd #e #t 
0.00000e+00 2.72000e-02 5.92898e+01 3.65446e+01 3.80465e-02 1.11837e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1360.00000000 
0.00000e+00 2.73000e-02 5.92572e+01 3.65811e+01 3.80295e-02 1.11999e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1365.00000000 
0.00000e+00 2.74000e-02 5.92249e+01 3.66174e+01 3.80126e-02 1.12160e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1370.00000000 
0.00000e+00 2.75000e-02 5.91930e+01 3.66535e+01 3.79959e-02 1.12320e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1375.00000000 
0.00000e+00 2.76000e-02 5.91615e+01 3.66894e+01 3.79793e-02 1.12479e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1380.00000000 
0.00000e+00 2.77000e-02 5.91303e+01 3.67252e+01 3.79628e-02 1.12637e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1385.00000000 
0.00000e+00 2.78000e-02 5.90995e+01 3.67608e+01 3.79465e-02 1.12795e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1390.00000000 
0.00000e+00 2.79000e-02 5.90690e+01 3.67962e+01 3.79303e-02 1.12951e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1395.00000000 
0.00000e+00 2.80000e-02 5.90388e+01 3.68314e+01 3.79143e-02 1.13107e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1400.00000000 
0.00000e+00 2.81000e-02 5.90090e+01 3.68664e+01 3.78984e-02 1.13263e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1405.00000000 
0.00000e+00 2.82000e-02 5.89796e+01 3.69013e+01 3.78826e-02 1.13417e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1410.00000000 
0.00000e+00 2.83000e-02 5.89504e+01 3.69360e+01 3.78670e-02 1.13570e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1415.00000000 
0.00000e+00 2.84000e-02 5.89216e+01 3.69706e+01 3.78515e-02 1.13723e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1420.00000000 
0.00000e+00 2.85000e-02 5.88932e+01 3.70049e+01 3.78361e-02 1.13875e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1425.00000000 
0.00000e+00 2.86000e-02 5.88650e+01 3.70391e+01 3.78209e-02 1.14026e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1430.00000000 
0.00000e+00 2.87000e-02 5.88372e+01 3.70732e+01 3.78057e-02 1.14177e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1435.00000000 
0.00000e+00 2.88000e-02 5.88097e+01 3.71070e+01 3.77908e-02 1.14326e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1440.00000000 
0.00000e+00 2.89000e-02 5.87825e+01 3.71408e+01 3.77759e-02 1.14475e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1445.00000000 
0.00000e+00 2.90000e-02 5.87557e+01 3.71743e+01 3.77612e-02 1.14623e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1450.00000000 
0.00000e+00 2.91000e-02 5.87292e+01 3.72077e+01 3.77466e-02 1.14770e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1455.00000000 
0.00000e+00 2.92000e-02 5.87029e+01 3.72409e+01 3.77321e-02 1.14917e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1460.00000000 
0.00000e+00 2.93000e-02 5.86770e+01 3.72740e+01 3.77177e-02 1.15063e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1465.00000000 
0.00000e+00 2.94000e-02 5.86514e+01 3.73069e+01 3.77035e-02 1.15208e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1470.00000000 
0.00000e+00 2.95000e-02 5.86261e+01 3.73396e+01 3.76894e-02 1.15352e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1475.00000000 
0.00000e+00 2.96000e-02 5.86011e+01 3.73722e+01 3.76754e-02 1.15495e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1480.00000000 
0.00000e+00 2.97000e-02 5.85764e+01 3.74047e+01 3.76616e-02 1.15638e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1485.00000000 
0.00000e+00 2.98000e-02 5.85520e+01 3.74369e+01 3.76478e-02 1.15780e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1490.00000000 
0.00000e+00 2.99000e-02 5.85279e+01 3.74691e+01 3.76342e-02 1.15921e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1495.00000000 
0.00000e+00 3.00000e-02 5.85041e+01 3.75011e+01 3.76207e-02 1.16062e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1500.00000000 
0.00000e+00 3.01000e-02 5.84806e+01 3.75329e+01 3.76073e-02 1.16202e-02 1.26491e-03 0.00000e+00 3.03444e-02 4.23000e-01 1505.00000000 
